Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
"ROTHSCHILD & CO";FR0000031684;ROTH;"Euronext Paris";EUR;36.50;36.55;35.25;35.25;"27/04/2022 17:35";CET;23258;827077.90
"ROUGIER S.A.";FR0000037640;ALRGR;"Euronext Growth Paris";EUR;17.40;17.60;17.40;17.60;"26/02/2018 13:46";CET;162;2843.60
"ROUSSELET CENTRIF.";FR0000035750;MLROU;"Euronext Access Paris";EUR;41.80;41.80;41.80;41.80;"20/04/2022 11:35";CET;4;167.20
RUBIS;FR0013269123;RUI;"Euronext Paris";EUR;24.50;25.03;24.34;24.84;"27/04/2022 17:35";CET;272226;6719235.93
S.E.B.;FR0000121709;SK;"Euronext Paris";EUR;120.00;120.40;118.30;119.50;"27/04/2022 17:35";CET;70434;8411334.70
SAFE;FR0013467123;ALSAF;"Euronext Growth Paris";EUR;0.1062;0.109;0.1052;0.109;"27/04/2022 17:21";CET;97341;10392.16
SAFRAN;FR0000073272;SAF;"Euronext Paris";EUR;105.28;105.86;102.86;104.44;"27/04/2022 17:35";CET;582753;60850002.94
"SAINT GOBAIN";FR0000125007;SGO;"Euronext Paris, Amsterdam, Brussels";EUR;54.05;55.35;53.16;54.95;"27/04/2022 17:35";CET;1388016;75969551.14
"SAINT GOBAIN NV22";FR0014009TI8;SGONV;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-
"SAINT JEAN GROUPE";FR0000060121;SABE;"Euronext Paris";EUR;18.80;18.80;18.80;18.80;"22/04/2022 11:30";CET;300;5640.00
SAMSE;FR0000060071;SAMS;"Euronext Paris";EUR;211.00;212.00;211.00;211.00;"27/04/2022 17:35";CET;240;50789.00
SANOFI;FR0000120578;SAN;"Euronext Paris";EUR;101.72;103.40;101.14;103.34;"27/04/2022 17:35";CET;2018162;207588327.14
"SANOFI NV22";FR0014006T94;SANNV;"Euronext Paris";EUR;99.90;99.90;99.90;99.90;"25/04/2022 11:30";CET;3;299.70
SAPMER;FR0010776617;ALMER;"Euronext Growth Paris";EUR;7.65;7.65;7.65;7.65;"26/04/2022 13:43";CET;105;803.25
"SARTORIUS STED BIO";FR0013154002;DIM;"Euronext Paris";EUR;295.00;305.50;290.90;298.20;"27/04/2022 17:35";CET;74039;22062863.30
SAVENCIA;FR0000120107;SAVE;"Euronext Paris";EUR;61.00;61.00;59.90;59.90;"27/04/2022 17:35";CET;3577;216856.70
"SAVONNERIE NYONS";FR0013155975;MLSDN;"Euronext Access Paris";EUR;39.00;39.00;38.80;38.80;"26/04/2022 17:17";CET;329;12768.00
SBT;FR0004175222;MLSBT;"Euronext Access Paris";EUR;5.20;5.70;5.20;5.70;"13/04/2022 16:30";CET;381;1981.70
"SCANDINAVIAN HOUSE";CH0220529603;MLSHD;"Euronext Access Paris";EUR;17.51;17.51;17.51;17.51;"13/05/2016 15:00";CET;500;8755.00
SCBSM;FR0006239109;CBSM;"Euronext Paris";EUR;9.15;9.15;9.10;9.10;"27/04/2022 15:43";CET;151;1374.15
SCEMI;FR0010972091;MLCMI;"Euronext Access Paris";EUR;4.16;4.16;4.16;4.16;"22/04/2022 14:33";CET;66;274.56
SCHLUMBERGER;AN8068571086;SLB;"Euronext Paris";EUR;37.40;38.25;37.40;37.65;"27/04/2022 17:35";CET;13630;516400.65
"SCHNEIDER ELECTRIC";FR0000121972;SU;"Euronext Paris";EUR;136.42;136.50;131.40;135.66;"27/04/2022 17:36";CET;1244878;167763862.82
"SCHOBRUNN PARIS";FR0010961920;MLSCH;"Euronext Access Paris";EUR;24.80;24.80;24.80;24.80;"08/02/2022 11:30";CET;13;322.40
"SCIENTIA SCHOOL";ES0105592002;MLSCI;"Euronext Access Paris";EUR;5.05;5.05;5.05;5.05;"06/04/2022 16:47";CET;14927;75381.35
"SCOR SE";FR0010411983;SCR;"Euronext Paris";EUR;26.82;27.19;26.22;27.19;"27/04/2022 17:36";CET;376583;10166356.96
"SECHE ENVIRONNEM.";FR0000039109;SCHP;"Euronext Paris";EUR;71.50;72.50;70.00;72.50;"27/04/2022 17:35";CET;5389;383181.00
"SEGRO PLC";GB00B5ZN1N88;SGRO;"Euronext Paris";EUR;11.30;11.30;11.30;11.30;"07/04/2021 13:45";CET;500;5650.00
"SEIF SPA";IT0005353484;ALSEI;"Euronext Growth Paris";EUR;0.474;0.474;0.474;0.474;"27/04/2022 09:00";CET;1;0.47
SELCODIS;FR0000065492;SLCO;"Euronext Paris";EUR;0.29;0.29;0.29;0.29;"25/03/2009 00:00";CET;2074;601.00
SELECTIRENTE;FR0004175842;SELER;"Euronext Paris";EUR;96.50;96.50;96.50;96.50;"27/04/2022 11:30";CET;1;96.50
"SEMPLICEMENTE SpA";IT0005072811;MLSMP;"Euronext Access Paris";EUR;0.81;0.81;0.81;0.81;"05/08/2016 15:00";CET;100;81.00
SENSORION;FR0012596468;ALSEN;"Euronext Growth Paris";EUR;0.54;0.542;0.507;0.523;"27/04/2022 17:35";CET;88329;46372.55
"SEQUA PETROLEUM NV";NL0010623518;MLSEQ;"Euronext Access Paris";EUR;0.01;0.01;0.01;0.01;"27/04/2022 11:30";CET;6001;60.01
"SERGEFERRARI GROUP";FR0011950682;SEFER;"Euronext Paris";EUR;17.16;17.78;17.12;17.12;"27/04/2022 17:35";CET;10630;184611.76
"SERMA GROUP";FR0000073728;ALSER;"Euronext Growth Paris";EUR;326.00;326.00;326.00;326.00;"25/04/2022 11:30";CET;2;652.00
SES;LU0088087324;SESG;"Euronext Paris";EUR;8.718;8.826;8.656;8.684;"27/04/2022 17:39";CET;1021627;8898874.17
"SES IMAGOTAG";FR0010282822;SESL;"Euronext Paris";EUR;86.40;86.70;85.00;85.70;"27/04/2022 17:35";CET;5070;435419.00
